,Run 800 Meters; 40 sdhp 24/16 KB?s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters
258,"For time:; 25 Burpees; -- then --; 5 rounds of:; 10 Deadlifts, 185/125 lbs; 5 Push-up (hand release)s"
259,"For time:; 30 Atlas Stone Ground To Shoulders, 142/93 lbs; 60 Junk Yard Dogs; 30 Sandbag Turkish Get Ups, 70/50 lbs; (Partners"
260,"For time:; 30 Burpee Wall balls, 20/14 lbs, 10/9 ft; -- then --; 10 rounds of:; 10 Deadlifts, 185/125 lbs; 10 AbMat Sit-ups; -- then --; 30 Burpee Wall balls, 20/14 lbs, 10/9 ft; (Partners"
261,"15-12-9-6-3 reps, for time of:; Dumbbell Hang Squat Clean, 110/70 lbs; Toes-to-bar"
262,"5 rounds for time of:; 20 Row (calories)s; 20 Kettlebell Swings, 53/35 lbs"
263,"As many reps as possible in 10 mins of:; Deadlift; 5 Burpees, EMOM; (Partner Workout); *Begin at ~50% and Add 20/10 pounds every 10 reps"
264,"30-20-10 reps, for time of:; Burpee Jump And Touch, 12 in; Air Squat"
265,"For time:; 50 Medicine Ball Cleans, 20/14 lbs"
266,"For time:; Run, 1600 m; Rest 3 mins; Run, 1200 m; Rest 2 mins; Run, 800 m; Rest 1 min; Run, 400 m"
267,"8 rounds for time of:; 10 Kettlebell Taters, 53/35 lbs; 6 Toes-to-bars"
268,"Bradley; 10 rounds for time of:; Sprint, 100 m; 10 Pull-ups; Sprint, 100 m; 10 Burpees; Rest 30 secs"
269,"Karen; For time:; 150 Wall Balls, 20/14 lbs"
270,"4 rounds for time of:; Row, 500 m; Run, 400 m; Rest; (Teams)"
271,"4 rounds for time of:; 7 Bear Complexes, 95/65 lbs; 14 Broad Jumps, 6/4 ft"
272,"Diane; 21-15-9 reps, for time of:; Deadlift, 225/155 lbs; Handstand Push-up"
273,"15-12-9 reps, for time of:; Overhead Squat, 115/75 lbs; Burpee Toes-to-Bar"
274,"4 rounds for time of:; 20 Wall Balls, 20/14 lbs, 10/9 ft; 10 Deadlifts, 185/135 lbs"
275,"Hotshots 19; 6 rounds for time of:; 30 Air Squats; 19 Power Cleans, 135/95 lbs; 7 Strict Pull-ups; Run, 400 m"
276,"5 rounds for time of:; 10 Toes To Bars; 10 Power Snatches, 75/55 lbs; 10 Wall Balls, 20/14 lbs"
277,"5 rounds for time of:; Run, 400 m; 10 Chest-to-bar Pull-ups; Rest 2 mins"
278,"For 4 cycles:; AMRAP in 2 mins of:; 10 Kettlebell Swings, 70/53 lbs; 10 Squat Thrusts; *Rest 1 min between each cycle. For each cycle restart the AMRAP."
279,"4 rounds for time of:; 3 Power Cleans, 205/135 lbs; 20 Push-up (hand release)s; 50 Double Unders"
280,"10-8-6-4-2 reps, for time of:; Push-up (hand release); Jumping Alternating Lunge"
281,"Death By - Bear Complex : 1 rep + 1 rep / 1 min, 45/35 lbs"
282,"21-15-9 reps, for time of:; Push Press, 115/75 lbs; 1 Legged Burpee"
283,"For time:; 50 Double Unders; -- then --; 3 rounds of:; 10 Burpee Pull-ups; 20 Dumbbell Goblet Squats, 65/45 lbs; -- then --; 50 Double Unders"
284,"24 rounds for time of:; 10 Deadlifts, 165/105 lbs; Sled Push, 75 lbs, 50 ft; Bear Crawl, 50 ft; (Teams)"
285,"For time:; 20 Turkish Get Up Alternating Arms, 53/35 lbs"
286,"3 rounds for time of:; 8 Push Jerks, 155/105 lbs; Run, 200 m; 16 Kettlebell Swings, 53/35 lbs; Run, 200 m; 24 Burpees"
287,"3 rounds for time of:; 8 Wall Ball (2 For 1)s, 20/14 lbs, 10/9 ft; Bear Crawl, 50 ft"
288,"10-9-8-7-6-5-4-3-2-1 reps, for time of:; Bumper Plate Ground To Overhead, 45/35 lbs; Bumper Plate Squat, 45/35 lbs"
289,"5 rounds for time of:; 5 Deadlifts, 275/185 lbs; 10 Burpees"
290,"For 8 cycles:; AMRAP in 1 min of:; 1 Atlas Stone Ground To Shoulder, 142/93 lbs; 5 Box Jump Overs, 24/20 in; *Rest 1 min between each cycle. For each cycle restart the AMRAP."
291,"5 rounds for time of:; 30 Double Unders; 15 Deadlifts, 155/95 lbs; 3 Push Jerks, 155/95 lbs"
292,"12 rounds for time of:; 15 Double Kettlebell Deadlifts, 106/70 lbs; 10 Double Kettlebell Front Rack Lunges, 106/70 lbs; (Partners)"
293,"30 rounds for time of:; 5 Bear Complexes, 45/35 lbs; Bear Crawl, 50 ft; Sprint, 50 ft; (Team"
294,"5 rounds for time of:; 10 One Arm Dumbbell Snatch (Alternating)s, 65/45 lbs; 20 Hollow Rocks"
295,"5 rounds, each round for time, of:; 15 Thrusters, 75/55 lbs; 15 V-ups; *Rest 2 mins between each round"
296,"For time:; Row, 500 m; 30 Burpees; 10 Shoulder-to-Overheads, 165/95 lbs"
297,"3 rounds for time of:; 20 Curtis Ps, 95/65 lbs; 40 Box Jump Overs, 24/20 in; (Partner)"
298,"Fran; 21-15-9 reps, for time of:; Thruster, 95/65 lbs; Pull-up"
299,"For 10 cycles:; AMRAP in 1 min of:; 5 Axle Bar Clean & Jerks, 115/75 lbs; 15 Burpee Over Bars; *Rest 1 min between each cycle. For each cycle continue the AMRAP."
300,"Jackie; For time:; Row, 1000 m; 50 Thrusters, 45/35 lbs; 30 Pull-ups"
301,"8 rounds for time of:; 4 One Arm Dumbbell Snatch (Alternating)s, 65/45 lbs; Shuttle Sprint, 150 ft"
302,"3 rounds for time of:; 50 Double Unders; 21 Kettlebell Swings, 53/35 lbs; 7 Burpee Pull-ups"
303,"4 rounds for time of:; 15 Assault Bike (Calories)s; L Sit, 30 secs"
304,"For time:; 100 Back Squats, 225/155 lbs; (Teams)"
305,"10-8-6-4-2 reps, for time of:; Push Jerk, 95/65 lbs; Burpee Box Jump, 24/20 in"
306,"5 rounds for time of:; Run, 200 m; 5 Strict Pull-ups"
307,"For time:; Banded March, 5 mins; -- then --; 4 rounds of:; 30 Walking Lunges; 20 Push-up (hand release)s"
308,"For 5 cycles:; AMRAP in 2 mins of:; Run, 200 m; ME Axle Bar Clean & Jerks, 115/75 lbs; *Rest 2 mins between each cycle."
309,"For time:; 21 Thrusters, 75/55 lbs; 50 Double Unders; 15 Thrusters, 75/55 lbs; 50 Double Unders; 9 Thrusters, 75/55 lbs; 50 Double Unders"
310,"5 rounds for time of:; 12 Romanian Deadlifts, 50% (1RM Deadlift); 12 Strict Ring Dips"
311,"12 min clock; Partner - Squat Clean Thruster Ladder; 1-1, 2-2, 3-3??; 95/65 #"
312,30-25-20-15-10-5; Wallball 20/14 #; KB Swings 53/35 #; WB 16/12 #; KB 35/25 #
313,8 rounds; 30 sec on 30 sec off; Max Effort Calorie Row
314,8 min Clock; C/P: ODD: Max 10 m Sprint; EVEN: Max TTB
315,"5 RFT; 20 | 10 @ 24/20 """
316,12 min clock; #1 Farmer Carry; # 2 Wall Ball; Count Wall Ball Reps; KB 53/35 #; WB 16/12 #
317,8 min; 1K row; -then-; Find Max Squat Snatch
318,"2 Rounds; 20 TTB; 40 Box Jumps 24/20""; 60 Air Squats; 80 DU"
319,"3 Rounds; 500 m Row; 25 Air Squats; 10 Box Jumps; 24/20 """
320,"2 RFT-35 min cap; 5 Weighted Strict Pull-ups; 10 HSPU; 15 Box Jumps 24/20""; 20 Knees Up; 25 Burpees; 5 Power Snatch-95/65#; 10 OHS-95/65#; 15 Power Cleans-95/65#; 20 Push Jerks-95/65#; 25 Dead Lifts-95/65#"
321,EMOM 7 MIN; 20 Double Unders; Max HSPU
322,60 Thrusters 75/55 #-For Time
323,1K Row For Time
324,AMRAP; 15 Burpees; 15 Pull-ups; 25 yd Sprint
325,4 Min Plate Hold; 35/15 #
326,AMRAP; 10 Ring Dips; 10 OHS; 75/55 #
327,For Time; 20 min cap; 50 Wallballs 16/14 #; 40 Burpees; 30 Pistols; 20 HSPU; 15 Strict Pull-ups
328,7 Rounds; Odd minute = 12 Cal row; Even minute = 10-15 HR Push-ups; Rest 1 minute
329,Chief Snatch; 5 rounds; 3 minutes on|1 minute off; 95/65 #
330,For Time; 1K Row; 30 Deadlifts 115/75 #; 20 Front Squat; 30 Deadlifts; 1 K Row
331,5 Rounds; 10 Power Cleans; 10 Lateral Hops Over Bar; 95/65 #
332,Accumulate in any order; 1 1/2 miles running; 150 DU; 60 TTB; 50 HP Snatch 85/55 #; 30 Push Press 85/55 #; 20 OHS 85/55 #
333,15.12. 9. 6. 3; Front Squat 115/175 #; Pull-ups
334,The Ghost; 6 Rounds; 1 min Row Max cal; 1 min Max Burpees; 1 min Max D.U. *; 1 min Rest; * F: Singles
335,Elizabeth; 21- 15 - 9; Power Cleans; Ring Dips; 95/65 #
336,10 SDHP 75/55 #; 40 DUs
337,5 Min Clock; C/P: 1 K Row; Max DUs
338,24 minutes; 6 rounds; 2 min on/2 min off; RD 1-3 -5; 250 m Row ?-> Max Box Jumps 30/24?; RD 2- 4- 6; 15/10 Calories on the Air Dyne ??> Max KB SDHP 70/53 #; 24/20? box; 53/35 # KB
339,16 min AMRAP; 10 C & J 75/55 #; 10 TTB; 10 Burpees
340,4 Rounds; -20 Sit-ups; -16 Lunges; -12 Box Jumps; 75/55#; 24/20?
341,4 Rounds; 3 min AMRAP; 7 Pull-ups; 7 Box Jumps; * Rest 2 min after each round; 24/20?
342,21- 15 - 9; Pull-ups; Push-ups; Air Squats
343,3 Rounds:; 3 min AMRAP; 10 OHS 75/55 #; 10 Pull-ups; Rest 1 min
344,8 min AMRAP; 3:6:9:12:15?..; TTB; * 150 Ft Farmer walks; between rounds; C: 70/53 #; P: 53/35 #; F: Choice #
345,"3 Rounds; Min 1: 5 Wall Balls 30/20# & 5 HSPU; Min 2: 5 Wall Balls & 10 KBS 70/53 #; Min 3: 5 Wall Balls & 5 Muscle Ups; WB 20/16 #, KB 53/35 #, 10 Ring Dips"
346,2 x 800 m Run Rest 1:1
347,?KELLY?; 5 Rounds; 400 m Run; 30 Box Jump 24/20?; 30 Wall Ball 16/12 #
348,10 min EMOM; ODD: 10 x 10m Sprint; EVEN: 20 DU
349,8 min AMRAP; 10 Power Snatch 65/45 #; 10 Pull-ups
350,8 min AMRAP; 250m Row; 15 Sit-ups
351,8 min Clock EMOM; Odd: 8 Pull-ups; Even: 8 Box Jumps 24/20?
352,20 min AMRAP; 10 TTB; 15 KBS 53/35 #; 20 Box Jump Overs 24/20?
353,7 Rounds; 7 Deadlifts 185/135#; 7 Box Jumps @ 30/24?; 7 KBS @ 70/53#; 7 Ring Dips; 135/95#; 24/20?; 53/35#
354,Tabata Sit-Ups; Total Reps
355,16 min AMRAP; KBS@35/25 #; Wall Balls 16/12#; Box Jumps 24/20?
356,For Time:; Buy in-50 Burpees; ?Then?; 3 Rounds; 12 Deadlifts 185/135 #; 20 Pistols; Cash out-50 Burpees
357,"3 Rounds; 4 min on, 1 min off; 5 Power Cleans 95/65#; 7/5 Ring Dips; 20 Wall Ball 16/12#"
358,12 min AMRAP; 10 STO 75/55 #; 20 Burpees over Bar
359,Tabata; Bottom to bottom air squats; * Hold squat at bottom during; 10 sec ?rest? period
360,Same-95/65 #
361,*PALEO CHALLENGE
362,EMOM 12; ODD: 8 TTB; EVEN: 12 Superman
363,4 Rounds; 2:30 on / 1:30 off; 400 m Row; Max KBS; 35/25 #; F Choice #
364,Tabata; Plank Holds; Superman holds
365,50 Wall Ball 16/12 #; 25 Knees to Elbows; 7 Power Clean 95/65 #; 40 Wall Ball; 20 KTE; 7 Power Clean; 30 Wall Ball; 15 KTE; 7 Power Clean; 20 Wall Ball; 10 KTE; 7 Power Clean; 10 Wall Ball; 5 KTE; 7 Power Clean
366,10 Rounds; 5 SDHP 75/55 #; 10 Push-ups; 20 Double Unders/50 Singles
367,(w/Partner); ?2014 CrossFit Regional Team Event # 7?; 500 m Row; 75 DUs; (Each); ? then ?; 50 Deadlifts @ 225/155 (Partner Holds); ? then ?; 50 TTB (Partner hangs)
368,5 Rounds; C: 50 Sit-ups; Rest. |=|; P: 35 Sit-ups; Rest. |=|; F: 20 Sit-ups; Rest |=|
369,Partner 1:; 100 ft Yoke Carry 180/100 #; Partner 2:; 3 RFT; 100 DU; 80 Sit-Ups; 60 Box Jumps 30/24?; *Partner 1 does yoke carry while Partner 2; works on 3 RFT. Switch when yoke carry is done.; Continue this until 3 RFT is finished.; Yoke-100/60 #; Box-24/20?
370,7 Rounds; 1 minute on; 1 minute off; 30 DUs; Remaining time ?; Max Box Jumps 24/20?
371,7 RFT; ? 7 TTB; ? 14 Wall Ball 16/12#
372,?EVA?; 5 RFT; 800 m Run; 20 KB Swings 53/35 #; 20 pull-ups
373,?Karen Meets Grace?; 3 rounds; 40 Wall Ball 16/12 #; 10 Clean & Jerk 95/65 #
374,21 ~ 15 ~ 9; Dead Lift; 400 m Run after each round; 165/115 #
375,For Time; 1K Row; 50 Burpees over the Bar; 50 Push Press 65/45 #
376,C/P: 2K Row for Time; F: 1K Row for Time; Rest 5 min
377,10 min cap; 75 Burpees for time
378,30 ~ 20 ~ 10; Cal Row; Power Snatch 55/35#
379,8 min clock; Odd: Dips 6/4; Even: DU 30
380,5 Rounds; 15 hang Power Clean 95/65 #; 400 m Run
381,6 min Clock; Max Distance Sled Runs-Pull 135/90 #
382,DANNY; 20 min AMRAP; 30 Box Jumps; 20 Push Press; 30 Pull-Ups; 95/65#
383,12 Min AMRAP; *Partner
384,10 ????> 1.; SDHP @ 95/65 #; 6 TTB after each set
385,# 1-Partner 3K Row; ? Switch every 250 m
386,8 min AMRAP; 2-4-6-8? Ladder; Power Clean; Burpees over the Bar; 75/55 #
387,15-12-9; TTB; 21-15-9; Power Snatches 75/55 #; Box Jumps 24/20 ?
388,?CINDY?; 20 min AMRAP; Scaled Movements
389,C/P: 6 Rounds; 2 Min AMRAP; 300 m Run; Max effort Push-Ups; Rest 1 minute; *Score = Total # of Push-ups
390,# 1-SPRINT TRI; C/P: 1 Mile AD; 500 m Row; 800 m Run
391,ANNIE; 30 ~ 25 ~ 20 ~ 15-10; DUs; 50 ~ 40 ~ 30 ~ 20 ~ 10; Sit-Ups
392,TABATA; Double Unders; Hollow Rocks
393,15 min AMRAP; 6 Pull-Ups; 9 Box Jumps 24/20?; 12 KBS 53/35#
394,FOR TIME; 70 DU; 80 KBS 35/25 #; 60 Thrusters 65/45 #; 40 Box Jumps 24/20?; 20 Cal Row; 20 Ring Rows/10 Dips
395,3 RNFT; 15 Back Extensions
396,10 RFT; 10 Double Unders; 5 Ring Dips; 7 KBS @ 53/35 #
397,AMRAP 15; 400 M Run; 10 Power Cleans; 115/75 #
398,FOR TIME; 30 ~ 20 ~ 10; Medball Squat Cleans 20/14 #; 800 M Run after each round
399,EMOM 30 MIN; Min 1: 5 Front Squats 115/75 #; Min 2: 7 TTB; Min 3: 7 Burpees
400,15 MIN; C/P: Every 3 Min; 400 M Run; * Score = Slowest round
401,For Time; 800 m Run; 40 KBS 53/35#; 600 m Run; 20 KBS; 400 m Run; 10 KBS
402,10 min AMRAP; 30 DU attempts; 10TTB; 100 m Run
403,30 min AMRAP; 400 M Run; 30 Box Jumps 20/16?; 20 Pull-Ups
404,20 MIN CAP; 5 RFT; 400 M Run; 18 Burpees
405,10 min AMRAP; 10 Front Squats 75/55 #; 10 Pull-Ups; ?then?.; 1 Mile Run for time
406,ends at 300 Calories
407,FOR TIME; 20-15-10-5; Front Squat 95/65 #; Box Jumps 24/20 #
408,FOR TIME-30 MIN CAP; Every 3 min-Run 200 M; 5 Rounds; 20 Push Press 85/55 #; 30 KB 35/25 #; 40 Sit-ups
409,"?DEATH BY 10 M SPRINTS?; Min 1: 1 10 M Sprint; Min 2 2 10 M Sprints; Min 3: 3 10 M Sprints; Etc?.; As long as possible!; *If you fail before 12, complete your # of completed sprints until 12 min."
410,8 MIN AMRAP; 15 KBS 53/35#; 35 DU
411,FOR TIME; 3 Rounds-15 Min Cap; 20 OHS 75/45#; 20 Burpees
412,"WITH PARTNER; For Time-15 Min Cap; Squat Clean Thrusters; 1, 2, 3, 4, 5, 6, 7, 6, 5, 4, 3, 2, 1; 85/55#"
413,OT3M-21 Minutes; Row 200 M; 15 Pull-ups (no band)/6 Strict Pull-ups (band); *Keep track of time on each round-score = slowest round
414,6 ROUNDS; 2 Min on/1 Min off; Run 8 x 10 M; 5 OHS @ 95/65#; Max DU; *Score = Max DU
415,FOR TIME-18 MIN CAP; 20 CAL ROW; 30 Burpees; 30 1-Arm DB Snatch 35/25#; 35 TTB; 100 FT OH Lunge w/45/25# plate; 150 FT Sprint
416,4 ROUNDS; 3 Min on/1 Min off; 200 M Row; 10 Burpee Box Jump Overs 24/20?; Max KBS 53/35#
417,FOR TIME-20 MIN CAP; 800 M Run; then; 4 Rounds; 6 HSPU; 20 Wall Ball-16/12#; then; 800 M Run
418,3 ROUNDS; C/P: 2 Min: 200 M Sprint; Max Push-ups; 2 Min: 200 M Sprint; Max Sit-ups; 2 Min: 200 M Sprint; Max Air Squats; Rest 2 minutes
419,FOR TIME-10 MIN CAP; 50 Squat Cleans 115/75#; EMOM 3 Strict PUs
420,: 8 RNDS; 30 Sec on/30 Sec off; Hollow Holds
421,8 Rounds; 30 Sec on/30 Sec Off; Max Calorie Row
422,AMRAP 15; 10 Hang Power Clean 115/75#; 15 Bar-Facing Burpees; 30 Double Unders
423,6 ROUNDS:; 1 min On: 2 min Off; 10 Box Jumps 24/20?; Max Front Squats 115/75#
424,10 Min clock; Ladder by 3s; 85/55#
425,TEAMS OF 3-20 MIN; #1-10 Back Squat (from rack)-155/115#; #2-150 M Row-Sprint!; #3-Rest!; Cycle through = 1 Round; Score = Total Rounds; 8 Back Squats 125/85#; 125 M Row
426,3 Rounds NFT; 12 Back Extensions; 9 DB Rows Each Arm; 30-45 Sec Hollow Hold
427,10 MIN AMRAP; 3 TTB; 3 SDHP 75/55#; 6 TTB; 6 SDHP; 9 TTB; 9 SDHP
428,FOR TIME; 1K Row
429,FOR TIME; 21-15-9; Hang Power Clean 75/55#; Burpees over the Bar
430,?KELLY?-40 MIN TIME CAP; 5 Rounds for time; 400 M Run; 30 Box Jumps 24/20?; 30 Wall Balls 16/12#
431,12 MIN AMRAP; 7 Power Clean 95/65#; 5 Strict Toes To Bar; 10 Knees Up (As high as possible)
432,8 MIN CAP; 4 Rounds for Time; 30 Double Unders; 10 Wall Ball @ 20/16#
433,3 RNDS-EACH FOR TIME-25 MIN CAP; 30 Double Unders; 40 Sit-ups; 30 KBS 35/25#; 20 TTBs; 10 Dips (Band); *Rest 1 min 30 sec
434,FOR TIME; 75 DU; 800 M Run; 20 TTB or Knee-Ups; 20 Wall Ball 16/12#; 50 DU; 600 M Run; 15 TTB; 15 Wall Ball; 25 DU; 400 M Run; 10 TTB; 10 Wall Ball
435,FOR TIME; 10 x 400 M Row; Rest 2:30
436,10 ROUNDS; 90 Seconds on/90 Seconds off; 8 DL 95/65#; 6 HPC; 4 FS; 2 STO; Max Burpee Box Jump Overs 24/20?
437,14 MIN AMRAP; *Split up however you want; 10 WB-16/12#; 10 Box Jump Overs-24/20?; 20 WB; 20 Box Jump Overs; 30 WB; 30 Box Jump Overs; Etc?..
438,FOR TIME; 30 CAL-AirDyne; 30 Power Snatch 55/35#; 300 M Run; 20 TTB; 30 Burpees Over the Bar
439,25 MIN TIME CAP; 5 Rounds; 400 M Run; 10 Squat Snatches 115/75#
440,# 1-8 MIN; Max Strict press 85/55#; 30 Double Unders ? *When you drop the bar*
441,12 MIN AMRAP; 10 Burpees; 20 Double Unders
442,8 MIN AMRAP; 3 Power Cleans 155/105; 12 Hand Release Pushups (Banded if Necessary)
443,10 Rounds; 30 Seconds Max Calories on Rower; 1 Minute Rest; Score is number of calories.
444,"In teams of 3, with one person working at a time:; 25 Minute AMRAP; 60 Thrusters 105/75; 60 Box Jumps 24/20; 800m Run Together"
445,20 Minute Clock; Every 2 Min perform:; 7 Lateral Burpees; 5 Power Cleans 135/95; 5 Strict CTB Pull-ups
446,7 Rounds For Time:; 7 Hang Power Snatch 85/55; 14 Burpee Box Jumps 24/20
447,20 Min AMRAP:; 5 Pull-Ups; 5 Ring Dips; 21 Air Squats
448,8 Rounds; 100m Sled Push; *Rest as needed between sets; 45/Empty Sled
449,3 Rounds; 500m Row; Rest 1:30 Between; 3 Rounds; 400m Row; Rest 1:30 Between
450,Tabata; Calories on Assault Bike
451,5 Rounds For Time; 40 Double Unders; 10 Burpee Pullups
452,Time Cap: 24 Minutes; 6RFT; 3 Squat Snatch 115/75; 1 Rounds of Cindy; 1 Rope Climb
453,Run 1 Mile; 30 Clean and Jerk 115/75
454,4 Rounds For Time; 400m Run; 15 Push Press 115/75
455,10 Rounds; Row 200m; Rest 1 Min
456,"60 TTB for Time (or 100 Knees Up/KTE); *EMOM 15 Dus, including at 0:00"
457,3 Rounds; 10 Hang Squat Cleans 95/65; 10 Lateral Burpees over Bar
458,400m Sled Pull; 8 Rope Climbs; 150 DUs; 150 Situps; 40 Stone to Shoulder; 400m Sled Pull
459,21-15-9; Power Snatch 75/55; *Run 200m after each round
460,4 Rounds for Time; 15 Pullups; 30 Situps; 40 Double Unders
461,"?Bradshaw?; 10 rounds for time of:; 3 Handstand push-ups; 225 pound Deadlift, 6 reps; 12 Pull-ups; 24 Double-unders; U.S. Army First Lieutenant Brian Bradshaw, 24, of Steilacoom, Washington, assigned to the 1st Battalion, 501st Parachute Infantry Regiment, 4th Airborne Brigade Combat Team, 25th Infantry Division, based in Fort Richardson, Alaska, died in Kheyl, Afghanistan, on June 25th, 2009, from wounds suffered when insurgents detonated a roadside bomb near his vehicle. He is survived by his parents, Paul and Mary, and brother Robert."
462,?DT?; 5 Rounds for Time; 12 Deadlifts 115/75#; 9 Hang Power Cleans 115/75#; 6 Push Jerk 115/75#
463,"21-15-9; TTB; Kettlebell Swings; Box Jumps; 53/35, 24/20"
464,12 Min AMRAP; 20 Burpees; 2 Rope Climbs; 12 Min AMRAP; 20 Burpees; 1 Rope Climb
465,12 Min AMRAP; 50 Double Unders; 20 Box Jumps 24/20; 10 TTB; 12 Min AMRAP; 30 Double Unders; 20 Box Jumps 24/20; 10 Knees Up
466,8 Minute AMRAP; Ladder by 2?s; 2 Wall Ball; 2 Burpees; 4 Wall ball; 4 Burpees; .; .; .; 20/14
467,This is meant to be a sprint workout. I challenge everyone who comes in tomorrow to give it everything they have. Let?s see who can push the hardest and come out with the fastest times! Should be an awesome workout!; 25 Calories Air Dyne; 25 Deadlifts 165/115; 25 Calories Rower; 25 Deadlifts 165/115
468,20 Minute AMRAP; 600m RUN; 30 Push Jerks 115/75
469,3 Minute AMRAP; 20 Double Unders; 7 Thrusters 115/75; Rest 2 MIN; 3 Minute AMRAP; 20 Double Unders; 7 Thrusters 95/65; Rest 2 MIN; 3 Minute AMRAP; 20 Double Unders; 7 Thrusters 75/55
470,1600m Row; 80 Pistols; 1200m Run; 40 Pistols
471,10 Min AMRAP; 50m Farmers Carry 70/53; 12 Push Press 115/75; 12 Burpees; 10 Min AMRAP; 50m Farmers Carry 53/35; 10 Push Press 85/55; 10 Burpees
472,"?Fran?; 21-15-9; Thrusters 95/65; Pull-Ups; This is the benchmark workout of CrossFit. If you haven?t done Fran before, get excited to come in and throw down on an awesome workout. It?s short, intense, and fun! Let?s get fired up and try to hit some PR?s!!; 21-15-9 Thrusters-75/55; 12-9-6 Banded Strict Pullups"
473,#2; Tabata Arch Holds
474,"(Teams of 4); AMRAP 30; 50 Push Jerk 135/95; 10 Rope Climbs; 1k Row; 40 Push Jerks 95/65, 5 Rope Climbs"
475,"12 Min AMRAP; 5 Pullups; 10 Box Jumps 24/20; 15 Wall Ball 20/14; 20/20, 16/12"
476,Buy in-Unbroken Double Unders; = 50; 10 Box Jump Overs 24/20; 15 Hand Release Pushups
477,(CAP 12 MINS); 3 ROUNDS FOR TIME; RX; 400M Run; 21 Thrusters 96/65; 400M Run; 21 Thrusters 75/55
478,"(Courtesy of Coach Raye); Minutes 0-3; AMRAP; 5 CTB; 10 Push Ups; 15 Air Squats; Minutes 3-6; Max Reps Power Snatch 95/65; Minutes 6-9; Max Reps Clean and Jerk 95/65; Minutes 9-12; Max Wall Ball 20/14; Regular Pull-ups, 75/55, 16/12"
479,(Courtesy of Coach Brandon); 30 Pullups; 30 Burpees; 20 Chest to Bar Pullups; 20 Burpee Box Jumps 24/20; 10 Muscle Ups; 10 Man Makers 50/35; 20 Pullups; 30 Burpees; 10 Chest to Bar Pullups; 20 Burpee Box Jumps 20/20; 10 CTB; 10 Dips; 10 Man Makers 30/20
480,"10 Minute AMRAP; 5 HSPU; 10 Wall Ball; 15 KBS; Kipping HSPU, 16/12, 35/25"
481,"30 Minute AMRAP (Courtesy of Coach Brandon); Person 1: Run 400m (Will adjust accordingly to the weather conditions); Person 2: 10 Deadlifts 225/185, then Max Pistols in remaining time of Partner 1?s Run; Person 3: Rest; Rotate after each ROW, accumulate as many rounds as possible in the thirty minutes; 185/135"
482,"3 Rounds For Time; 400m Run; 10 TTB; 10 OHS 95/65; Knee Ups, 75/45"
483,"(Courtesy of Coach Raye); 9 Rounds; 3 Squat Cleans 185/135; 6 Burpees to 6? Target; 9 Wall Ball 30/20; 145/100, 20/14"
484,Skill: DB Snatch; 1 Mile Run; 30 1 Arm DB Snatches 50/35; 1k Row; 30 1 Arm DB Snatches; 1 Mile Run; 40/25
485,"16 Minute AMRAP; 20 KBS 70/53; 10 Box Jump Overs 24/20; 3 Rope Climbs; 53/35, 20/20, 1 Rope Climb"
486,"21-15-9; Power Snatch 95/65; Toes to Bar; Box Jump 24/20; 75/55, Knees Up, 20/20"
487,3 Rounds for Time; 30 Medball Squat Cleans 20/14; 30 Abmat Situps; 30 Burpees; 16/12
488,"All for time:; 15-12-9; Hang Squat Snatch 95/65; Wall Ball 30/20; -Rest 2 Minutes-; 15-12-9; Wall Ball; Box Jump 24/20; -Rest 2 Minutes-; 15-12-9; Box Jump; Hang Squat Snatch; 75/55, 20/14, 20/20"
489,15-12-9-12-15; Sumo Deadlift High Pull 95/65; Lateral Burpees over the Bar; 65/45
490,1-2- 3-4-5-6-7-8-9-10; Burpee Pullups; *Run 200m after each round; Burpee / Ring Row
491,"15 Minute AMRAP; 10 Clean and Jerk 135/95; 10 Bar Facing Burpees; 10 Chest to Bar Pullups; 115/75, Chin Over Bar pullups"
492,"?Bergeron Beep Test? Courtesy of Crossfit New England; EMOM as Long as Possible; 7 Thrusters 75/55; 7 Pullups; 7 Burpees; 65/45, 5 reps of each"
493,"3 Rounds for total reps; 1 Minute of Toes to Bar; 1 Minute of SDHP 95/65; 1 Minute of Calories on the Rower; 1 Minute Rest; 75/55, Knees Up"
494,"Every Minute on the Minute for 30 Minutes; Minute 1: 5 Deadlifts @ 70% of 1RM; Minute 2: 50 Double Unders; Minute 3: 12 Burpees; Minute 4: 18/14 Calorie Row; Minute 5: Rest; 30 Dus, 10 Burpees, 16/12 Cal Row"
495,EMOM 18; First Minute: 2 Rope Climbs; Second Minute: 15 TTB; Third Minute: Rest; 1 Rope Climb / 10 TTB or 15 Knee Ups
496,"3 Rounds for Time; 400m Run; 30 Wall Balls 20/14; 20 Box Jumps 24/20; 10 Clusters 135/95; 16/12, 95/65"
497,"#1:; ?Partner Isabel?; 60 Snatches for time 135/95; *Split up reps however you?d like, but you must each do 30 by the end of the workout; 95/65"
498,"3 Rounds; 800m Run; 6 Rope Climbs; 35 Kettlebell Swings 53/35; 3 Rope Climbs, 35/25"
499,10 Minute Cap; For time:; 500m Row; 50 Overhead Squats 95/65; 50 Burpees; 75/55
500,4 Rounds For Time; 400m Run; 20 Burpees over the Bar; 10 Squat Snatch 95/65; 75/55
501,For Time:; 60x Cals on the Rower; 50x Squats; 400m Run; 30x Burpees over the Rower
